Issue,Total,Age 18-29,Age 30-44,Age 45-64,Age 65+,Gender Male,Gender Female,Race: White,Race: Black,Race: Hispanic,Race: Other,Educ: HS or Less,Educ: Some College,Educ: College Grad,Educ: Post Grad,Party: Dem,Party: Rep,Party: Ind,Ideology: Very liberal,Ideology: Liberal,Ideology: Moderate,Ideology: Conservative,Ideology: Very Conservative,Icome: <40k,Icome: 40-80k,Icome: 80-120k,Icome: >120k
Economy,12.4,7,15.1,13.6,12.4,15.5,9.4,11.9,19.9,7.3,15.2,12.5,11.1,11.4,17.9,11.7,20,9.3,12.8,8.7,11.1,16.6,21,11.2,12.1,17.9,8
Jobs,7,3.7,7.5,10,3.8,7.2,6.8,6,6.9,10,10.9,5.9,7.8,7.1,8.8,6,6.6,8.7,4.7,8.5,6.1,9.2,1.3,8.6,3.7,8.2,12.8
Healthcare,26.6,29,27.6,26.7,21.7,25.1,28.1,24.8,33.4,33.4,20.6,25.6,31.1,24,21.2,33.4,14,24.8,39,46.3,25,11.7,11.3,28.7,27.4,26.1,16.6
Transportation,0.6,0.3,1.8,0.1,-,0.5,0.7,0.6,0.4,1.1,-,0.4,1.3,-,-,0.5,0.1,0.1,0.4,-,0.5,0.1,0.5,1.2,0.3,-,-
Moral issues/values,16,15.7,15.5,14.9,19.9,13.7,18.2,17,15.4,9.6,19.6,15.8,15.9,19,12.3,8.8,24.6,18.8,5.6,5.3,14.3,24.1,42.5,14.5,18.6,10.9,20.6
Government spending/budget,10.6,9.9,9.5,11.1,12.4,11.3,10,11.1,2.7,11.3,17.2,11.3,9.5,11.5,9.7,9,12.5,12,2.3,3.3,12.8,15,10.1,10.5,8.1,12.7,12.2
Education,2.7,5.6,2.4,1.2,2.3,2,3.4,3,3.3,1,1.5,2,2.5,4.8,2.6,3.2,2.3,3.2,6.1,3.7,1.8,1.8,-,1.8,2.7,4.2,4.8
Taxes,4.6,9.7,2.1,3.4,4.7,7.1,2.3,4.5,0.7,10.6,1,6.1,4.6,1.9,3.1,5.5,3.3,5.1,1.2,1.9,6.6,6.7,3.8,4.2,5.9,2.6,3.7
Other,13.9,10.1,11.7,15.4,19.8,13.4,14.4,16.9,8.3,6.8,7.7,13,10.9,16.8,23.2,16.5,11.9,13.6,27.9,19.7,15.1,9.6,7.4,12.7,18.6,9.9,17.2
Don't know,5.5,9,6.7,3.6,3,4.2,6.8,4.3,8.9,8.8,6.3,7.5,5.3,3.5,1.1,5.5,4.7,4.2,-,2.6,6.7,5.1,2.1,6.6,2.6,7.4,4.2
Totals,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
(Unweighted N),-999,-182,-288,-373,-156,-467,-532,-755,-102,-67,-75,-427,-307,-170,-95,-354,-254,-284,-109,-176,-295,-246,-90,-361,-304,-116,-71